"@timestamp","user.name","source.geo.country_iso_code","event.outcome"
"Feb 1, 2020 @ 18:28:33.000",root,CN,failure
"Feb 1, 2020 @ 18:28:26.000",root,CN,failure
"Feb 1, 2020 @ 18:28:23.000",root,CN,failure
"Feb 1, 2020 @ 18:28:19.000",root,CN,failure
"Feb 1, 2020 @ 18:28:16.000",root,CN,failure
"Feb 1, 2020 @ 18:28:12.000",root,CN,failure
"Feb 1, 2020 @ 18:28:08.000",root,CN,failure
"Feb 1, 2020 @ 18:28:02.000",root,CN,failure
"Feb 1, 2020 @ 18:27:59.000",server,CN,failure
"Feb 1, 2020 @ 18:27:58.000",root,CN,failure
"Feb 1, 2020 @ 18:27:57.000",server,CN,failure
"Feb 1, 2020 @ 18:27:55.000",nagios,ID,failure
"Feb 1, 2020 @ 18:27:55.000",root,CN,failure
"Feb 1, 2020 @ 18:27:53.000",nagios,ID,failure
"Feb 1, 2020 @ 18:27:53.000",testuser,CN,failure
"Feb 1, 2020 @ 18:27:52.000","ubuntu@1234",IR,failure
"Feb 1, 2020 @ 18:27:51.000",root,CN,failure
"Feb 1, 2020 @ 18:27:51.000",testuser,CN,failure
"Feb 1, 2020 @ 18:27:50.000","ubuntu@1234",IR,failure
"Feb 1, 2020 @ 18:27:47.000",root,CN,failure
"Feb 1, 2020 @ 18:27:43.000",ubuntu,SG,failure
"Feb 1, 2020 @ 18:27:41.000",root,CN,failure
"Feb 1, 2020 @ 18:27:41.000",ubuntu,SG,failure
"Feb 1, 2020 @ 18:27:39.000",redmine,FR,failure
"Feb 1, 2020 @ 18:27:39.000",root,CN,failure
"Feb 1, 2020 @ 18:27:36.000",redmine,FR,failure
"Feb 1, 2020 @ 18:27:36.000",root,CN,failure
"Feb 1, 2020 @ 18:27:31.000",invoices,CN,failure
"Feb 1, 2020 @ 18:27:31.000",debian,FR,failure
"Feb 1, 2020 @ 18:27:29.000",invoices,CN,failure
"Feb 1, 2020 @ 18:27:29.000",debian,FR,failure
"Feb 1, 2020 @ 18:27:19.000",user,IT,failure
"Feb 1, 2020 @ 18:27:16.000",user,IT,failure
"Feb 1, 2020 @ 18:27:15.000",123123,CN,failure
"Feb 1, 2020 @ 18:27:12.000",123123,CN,failure
"Feb 1, 2020 @ 18:26:51.000",zabbix,DE,failure
"Feb 1, 2020 @ 18:26:49.000",root,CN,failure
"Feb 1, 2020 @ 18:26:48.000",zabbix,DE,failure
"Feb 1, 2020 @ 18:26:45.000",root,CN,failure
"Feb 1, 2020 @ 18:26:42.000",root,CN,failure
"Feb 1, 2020 @ 18:26:26.000",admin,CN,failure
"Feb 1, 2020 @ 18:26:23.000",admin,CN,failure
"Feb 1, 2020 @ 18:26:03.000",minecraft,,failure
"Feb 1, 2020 @ 18:26:02.000",minecraft,,failure
"Feb 1, 2020 @ 18:25:53.000",scpuser,GB,failure
"Feb 1, 2020 @ 18:25:51.000",scpuser,GB,failure
"Feb 1, 2020 @ 18:25:50.000",uftp,NA,failure
