"@timestamp","user.name","source.geo.country_iso_code","event.outcome"
"Feb 1, 2020 @ 14:16:16.000",admin,US,success
"Feb 1, 2020 @ 14:16:14.000",test1,CA,success
"Feb 1, 2020 @ 14:16:13.000",test123,US,success
"Feb 1, 2020 @ 14:16:04.000",debian,NL,success
"Jan 16, 2020 @ 21:58:41.000",root,CN,success
"Jan 16, 2020 @ 21:58:41.000",ubuntu,TN,success
"Jan 16, 2020 @ 21:58:39.000",joni,TN,success
"Jan 16, 2020 @ 21:58:38.000",root,CN,success
"Jan 16, 2020 @ 21:58:38.000",status,TN,success
"Jan 16, 2020 @ 21:58:36.000",stats,US,success
"Jan 16, 2020 @ 21:58:36.000",stats,TN,success
"Jan 16, 2020 @ 01:16:48.000",alex,TN,success
"Jan 16, 2020 @ 01:16:46.000",joni,CN,success
"Jan 16, 2020 @ 01:16:46.000",alexey,TN,success
"Jan 16, 2020 @ 01:16:46.000",root,AR,success
"Jan 16, 2020 @ 01:16:44.000",alexey,RU,success
"Jan 16, 2020 @ 01:16:43.000",alexey,TN,success
"Jan 18, 2020 @ 05:57:06.000",any,TN,success
"Jan 18, 2020 @ 05:57:04.000",any,CA,success
"Jan 18, 2020 @ 05:57:03.000",any,TN,success
"Jan 18, 2020 @ 05:57:01.000",any,DE,success
"Jan 18, 2020 @ 05:57:01.000",toor,TN,success
"Jan 18, 2020 @ 05:56:58.000",any,CN,success
"Jan 18, 2020 @ 09:30:34.000",mia,US,success
"Jan 18, 2020 @ 09:30:33.000",mia,US,success
"Jan 18, 2020 @ 09:24:45.000",cici,AR,success
"Jan 18, 2020 @ 09:24:44.000",cici,BR,success
"Jan 18, 2020 @ 10:35:32.000",system,DE,success
"Jan 18, 2020 @ 10:35:30.000",system,CN,success
"Jan 18, 2020 @ 10:30:57.000",cstrike,US,success
"Jan 18, 2020 @ 10:30:55.000",deka,TN,success
"Jan 18, 2020 @ 10:00:54.000",galinaa,CA,success
"Jan 18, 2020 @ 10:00:52.000",super,CA,success
"Jan 18, 2020 @ 10:00:08.000",root,CN,success
"Jan 18, 2020 @ 09:05:43.000",oscommerce,RU,success
"Jan 18, 2020 @ 09:05:41.000",joni,RU,success
"Jan 18, 2020 @ 08:26:29.000",admin,VN,success
"Jan 18, 2020 @ 08:26:02.000",admin,CN,success
"Jan 17, 2020 @ 09:42:03.000",memcache,TN,success
"Jan 17, 2020 @ 09:42:01.000",memcache,TN,success
"Jan 16, 2020 @ 10:29:04.000",mikhail,TN,success
"Jan 16, 2020 @ 10:29:03.000",mikhail,RU,success
"Jan 16, 2020 @ 07:34:53.000",ghost,RU,success
